id,board,black_score,best_move
618,rn3rk1/pp2ppbp/1qp2np1/2Pp1b2/3P1B2/1QN1PN1P/PP3PP1/R3KB1R b KQ - 0 9,-70.0,b6b3
619,rn3rk1/pp2ppbp/2p2np1/2Pp1b2/3P1B2/1PN1PN1P/1P3PP1/R3KB1R b KQ - 0 10,-58.0,b8d7
620,r4rk1/pp1nppbp/2p2np1/2Pp1b2/1P1P1B2/2N1PN1P/1P3PP1/R3KB1R b KQ - 0 11,-53.0,a7a6
621,r4rk1/1p1nppbp/p1p2np1/2Pp1b2/1P1P1B2/2N1P2P/1P1N1PP1/R3KB1R b KQ - 1 12,-16.0,h7h5
622,r4rk1/1p1nppbp/p1p3p1/2Pp1b2/1P1PnB2/1NN1P2P/1P3PP1/R3KB1R b KQ - 3 13,-14.0,e7e5
623,r4rk1/1p1n1pbp/p1p3p1/2Pppb2/1P1Pn3/1NN1P2P/1P3PPB/R3KB1R b KQ - 1 14,20.0,e5d4
624,r3r1k1/1p1n1pbp/p1p3p1/2Pppb2/1P1PN3/1N2P2P/1P3PPB/R3KB1R b KQ - 0 15,19.0,f5e4
625,r3r1k1/1p1n1pbp/p1p3p1/2Ppp3/1P1Pb3/1N2P2P/1P1K1PPB/R4B1R b - - 1 16,33.0,g6g5
626,r3rnk1/1p3pbp/p1p3p1/2Ppp3/1P1Pb3/1N2PP1P/1P1K2PB/R4B1R b - - 0 17,9.0,e5d4
627,r3rnk1/1p3pbp/p1p3p1/2Pppb2/1P1P4/1N1BPP1P/1P1K2PB/R6R b - - 2 18,51.0,e5d4
628,r3rnk1/1p3pbp/p1p3p1/2Pp1b2/1P1N4/3BPP1P/1P1K2PB/R6R b - - 0 19,44.0,f5d3
629,r3rnk1/1p3pbp/p1p3p1/2Pp4/1P1N4/3KPP1P/1P4PB/R6R b - - 0 20,58.0,f8e6
630,r3r1k1/1p3pbp/p1p1n1p1/2Pp4/1P1N4/3KPP1P/1P4PB/R3R3 b - - 2 21,61.0,g7d4
631,r5k1/1p2rpbp/p1pBn1p1/2Pp4/1P1N4/3KPP1P/1P4P1/R3R3 b - - 4 22,12.0,e7e8
632,r5k1/1p1r1pbp/p1pBn1p1/2Pp4/1P1N4/3KPP1P/1P2R1P1/R7 b - - 6 23,203.0,g7d4
633,4r1k1/1p1r1pbp/p1pBn1p1/2Pp4/1P1N4/3KPP1P/1P2R1P1/4R3 b - - 8 24,139.0,d7d6
634,4rBk1/1p1r1p1p/p1p1n1p1/2Pp4/1P1N4/3KPP1P/1P2R1P1/4R3 b - - 0 25,26.0,g8f8
635,4rk2/1p1r1p1p/p1p1n1p1/2Pp4/1P1N4/3KPPPP/1P2R3/4R3 b - - 0 26,27.0,h7h5
636,4rk2/1p1r3p/p1p1n1p1/2Pp1p2/1P1N3P/3KPPP1/1P2R3/4R3 b - - 0 27,19.0,d7e7
637,4r3/1p1r1k1p/p1p1n1p1/2Pp1p2/1P1N3P/3KPPP1/1P2R3/7R b - - 2 28,26.0,d7e7
638,4r3/1p1r3p/p1p1nkp1/2Pp1p1P/1P1N4/3KPPP1/1P2R3/7R b - - 0 29,96.0,e6d4
639,3nr3/1p1r3p/p1p2kP1/2Pp1p2/1P1N4/3KPPP1/1P2R3/7R b - - 0 30,10.0,h7g6
640,3nr3/1p1r4/p1p2kp1/2Pp1p2/1P1N4/3KPPP1/1P5R/7R b - - 1 31,15.0,d7e7
641,3nr3/1p2r3/p1p2kp1/2Pp1p2/1P6/3KPPP1/1PN4R/7R b - - 3 32,13.0,d8e6
642,4r3/1p2rn2/p1p2kp1/2Pp1p2/1P3P2/3KP1P1/1PN4R/7R b - - 0 33,0.0,f7d8
643,4r3/1p3n1R/p1p2kp1/2Pp1p2/1P2rP2/3KP1P1/1PN5/7R b - - 2 34,0.0,e8e7
644,3nr3/1p1R4/p1p2kp1/2Pp1p2/1P2rP2/3KP1P1/1PN5/7R b - - 4 35,0.0,e4e7
645,3nr3/1p2r3/p1pR1kp1/2Pp1p2/1P3P2/3KP1P1/1PN5/7R b - - 6 36,187.0,f6g7
646,3nr3/1p6/p1p1Rkp1/2Pp1p2/1P3P2/3KP1P1/1PN5/7R b - - 0 37,0.0,d8e6
647,4r3/1p5R/p1p1nkp1/2Pp1p2/1P3P2/3KP1P1/1PN5/8 b - - 1 38,0.0,e6g7
648,4r3/1p4nR/p1p2kp1/2Pp1p2/1P1N1P2/3KP1P1/1P6/8 b - - 3 39,0.0,e8e7
649,1r6/1p4nR/p1p2kp1/2Pp1p2/1P1N1P2/1P1KP1P1/8/8 b - - 0 40,0.0,b8e8
650,1r6/1p5R/p1p2kp1/2Pp1p1n/1P3P2/1P1KP1P1/4N3/8 b - - 2 41,0.0,h5g7
651,1r6/1p4nR/p1p2kp1/2Pp1p2/1P1N1P2/1P1KP1P1/8/8 b - - 4 42,0.0,b8e8
652,1r6/1p5R/p1p2kp1/2Pp1p1n/1P3P2/1P1KP1P1/4N3/8 b - - 6 43,0.0,h5g7
653,1r6/1p4n1/p1p2kpR/2Pp1p2/1P3P2/1P1KP1P1/4N3/8 b - - 8 44,25.0,b8e8
654,r7/1p4n1/p1p2kpR/2Pp1p2/1P1N1P2/1P1KP1P1/8/8 b - - 10 45,0.0,g7h5
655,r7/1p4n1/2p2kpR/pPPp1p2/3N1P2/1P1KP1P1/8/8 b - - 0 46,11.0,c6b5
656,r7/1p4n1/5kpR/pNPp1p2/5P2/1P1KP1P1/8/8 b - - 0 47,26.0,g7e6
657,r7/1p4n1/5kpR/1NPp1p2/P4P2/3KP1P1/8/8 b - - 0 48,0.0,g7e6
658,8/1p4n1/3N1kpR/2Pp1p2/r4P2/3KP1P1/8/8 b - - 1 49,0.0,g7e6
659,8/1p4n1/3N1kpR/2Pp1p2/3K1P2/r3P1P1/8/8 b - - 3 50,0.0,g7e6
660,8/1p6/3NnkpR/2PK1p2/5P2/r3P1P1/8/8 b - - 0 51,0.0,a3c3
661,8/1N6/4nkpR/2PK1p2/5P2/4r1P1/8/8 b - - 0 52,52.0,e3g3
662,8/1N6/2P1nkpR/3K1p2/5P2/6r1/8/8 b - - 0 53,94.0,g3g2
663,8/1N6/2PKnkpR/5p2/5P2/5r2/8/8 b - - 2 54,,f3d3
664,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-25.0,d7d5
665,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,2.0,g8f6
666,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,11.0,a7a6
667,r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/P1N5/1PP1PPPP/R2QKBNR b KQkq - 0 4,16.0,h7h6
668,r1bqkb1r/pppnppp1/5n1p/3p4/3P3B/P1N5/1PP1PPPP/R2QKBNR b KQkq - 1 5,14.0,a7a6
669,r1bqkb1r/pp1nppp1/2p2n1p/3p4/3P3B/P1N4P/1PP1PPP1/R2QKBNR b KQkq - 0 6,73.0,e7e5
670,r1bqkb1r/pp1n1pp1/2p2n1p/3pP3/7B/P1N4P/1PP1PPP1/R2QKBNR b KQkq - 0 7,88.0,d7e5
671,r1bqkb1r/pp3pp1/2p2n1p/3pn3/8/P1N3BP/1PP1PPP1/R2QKBNR b KQkq - 1 8,162.0,e5c4
672,r1bqkb1r/pp3pp1/2p2n1p/3p4/2n5/PPN3BP/2P1PPP1/R2QKBNR b KQkq - 0 9,413.0,c4a3
673,r1bqkb1r/pp3pp1/2p2n1p/3p4/8/nPN1P1BP/2P2PP1/R2QKBNR b KQkq - 0 10,516.0,d8a5
674,r1b1kb1r/pp3pp1/2p2n1p/q2p4/8/nPN1P1BP/2P1NPP1/R2QKB1R b KQkq - 2 11,585.0,a3c2
675,r1b1kb1r/pp3pp1/2p2n1p/q2p4/8/1PN1P1BP/2Q1NPP1/R3KB1R b KQkq - 0 12,545.0,a5a1
676,r1b1kb1r/pp3pp1/2p2n1p/3p4/8/1PN1P1BP/4NPP1/q2QKB1R b Kkq - 1 13,550.0,a1d1
677,r1b1kb1r/pp3pp1/2p2n1p/3p4/8/1P2P1BP/4NPP1/3NKB1R b Kkq - 0 14,646.0,f8b4
678,r3kb1r/pp3pp1/2p2n1p/3p1b2/3N4/1P2P1BP/5PP1/3NKB1R b Kkq - 2 15,583.0,f8b4
679,r3k2r/pp3pp1/2p2n1p/3p1b2/1b1N4/1P2P1BP/4KPP1/3N1B1R b kq - 4 16,590.0,f5g6
680,r3k2r/pp3pp1/2p2n1p/3p4/1b1N4/1P2PPBP/4K1P1/1b1N1B1R b kq - 0 17,563.0,a7a6
681,r3k2r/1p3pp1/p1p2n1p/3p4/1b1N4/1P2PP1P/4K1P1/1b1NBB1R b kq - 1 18,570.0,b4e1
682,r3k2r/1p3pp1/p1p2n1p/3p4/3N4/1P2PP1P/6P1/1b1NKB1R b kq - 0 19,556.0,c6c5
683,r3k2r/1p3pp1/p4n1p/2pp4/8/1P2PP1P/4N1P1/1b1NKB1R b kq - 1 20,547.0,b1d3
684,2kr3r/1p3pp1/p4n1p/2pp4/8/1P2PP1P/3KN1P1/1b1N1B1R b - - 3 21,564.0,b1h7
685,2kr3r/5pp1/p4n1p/1ppp4/5N2/1P2PP1P/3K2P1/1b1N1B1R b - - 1 22,559.0,c8b7
686,2kr3r/5pp1/p4n1p/1p1p4/2p2N2/1PK1PP1P/6P1/1b1N1B1R b - - 1 23,552.0,c8b7
687,2kr3r/5pp1/p4n1p/1p1p4/1Pp2N2/2K1PP1P/b5P1/3N1B1R b - - 0 24,559.0,d5d4
688,2kr3r/5pp1/p4n1p/1p6/1PpP1N2/2K2P1P/b5P1/3N1B1R b - - 0 25,553.0,h8e8
689,2kr3r/5p2/p4n1p/1p4p1/1PpP1N2/5P1P/bK4P1/3N1B1R b - - 1 26,697.0,g5f4
690,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-29.0,g8f6
691,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,13.0,g8f6
692,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,16.0,a7a6
693,r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,12.0,h7h6
694,r1bqkb1r/pppnpp1p/5np1/3p2B1/3P4/2N2N2/PPPQPPPP/R3KB1R b KQkq - 1 5,29.0,f6e4
695,r1bqkb1r/pppnpp1p/6p1/3p2B1/3PN3/5N2/PPPQPPPP/R3KB1R b KQkq - 0 6,35.0,d5e4
696,r1bqkb1r/pppnpp1p/6p1/4N1B1/3Pp3/8/PPPQPPPP/R3KB1R b KQkq - 1 7,152.0,d7b6
697,r1bqkb1r/ppp1pp1p/6p1/4P1B1/4p3/8/PPPQPPPP/R3KB1R b KQkq - 0 8,0.0,d8d2
698,r1b1kb1r/ppp1pp1p/6p1/4P3/4p3/8/PPPBPPPP/R3KB1R b KQkq - 0 9,-3.0,c8e6
699,r1b1k2r/ppp1ppbp/6p1/4P3/4p3/2B5/PPP1PPPP/R3KB1R b KQkq - 2 10,-7.0,c8e6
700,r3k2r/ppp1ppbp/4b1p1/4P3/4p3/2B5/PPP1PPPP/2KR1B1R b kq - 4 11,-1.0,c7c6
701,r3k2r/ppp1p1bp/4bpp1/4P3/4p3/2B2P2/PPP1P1PP/2KR1B1R b kq - 0 12,22.0,f6e5
702,r3k2r/ppp1p1bp/4b1p1/4p3/4P3/2B5/PPP1P1PP/2KR1B1R b kq - 0 13,22.0,a7a5
703,r4rk1/ppp1p1bp/4b1p1/4p3/4P3/2B3P1/PPP1P2P/2KR1B1R b - - 0 14,31.0,h7h5
704,r5k1/ppp1p1bp/4b1p1/4p3/4P3/6P1/PPP1Pr1P/2KRBB1R b - - 2 15,21.0,f2f8
705,r4rk1/ppp1p1bp/4b1p1/4p3/4P3/6P1/PPP1P1BP/2KRB2R b - - 4 16,37.0,e6g4
706,r4rk1/pp2p1bp/4b1p1/2p1p3/4P3/2B3P1/PPP1P1BP/2KR3R b - - 1 17,58.0,b7b5
707,r4rk1/p3p1bp/4b1p1/1pp1p3/4P3/P1B3P1/1PP1P1BP/2KR3R b - - 0 18,53.0,a7a5
708,r4rk1/4p1bp/4b1p1/ppp1p3/4P3/P1B3P1/1PP1P1BP/1K1R3R b - - 1 19,78.0,a5a4
709,r4rk1/4p1bp/4b1p1/p1p1p3/1P2P3/2B3P1/1PP1P1BP/1K1R3R b - - 0 20,388.0,a5b4
710,r4rk1/4p1bp/4b1p1/2p1p3/1p2P3/6P1/1PP1P1BP/1K1RB2R b - - 1 21,573.0,a8a6
711,5rk1/4p1bp/r3b1p1/2p1p3/1p2P3/6P1/1PP1P1BP/1K1RBR2 b - - 3 22,888.0,f8a8
712,r5k1/4p1bp/r3b1p1/2p1p3/1p2P3/6P1/1PP1P1BP/2KRBR2 b - - 5 23,1118.0,g7h6
713,r5k1/4p1b1/r3b1pp/2p1p3/1p2P3/5RP1/1PP1P1BP/2KRB3 b - - 1 24,451.0,c5c4
714,r5k1/4p1b1/r3b1pp/4p3/1Bp1P3/5RP1/1PP1P1BP/2KR4 b - - 0 25,467.0,a6a1
715,r5k1/4p1b1/4b1pp/4p3/1Bp1P3/5RP1/1PPKP1BP/r2R4 b - - 2 26,464.0,a8d8
716,3r2k1/4p1b1/4b1pp/4p3/1Bp1P3/2K2RP1/1PP1P1BP/r2R4 b - - 4 27,545.0,a1d1
717,6k1/4B1b1/4b1pp/4p3/2p1P3/2K2RP1/1PP1P1BP/r2r4 b - - 0 28,527.0,d1d7
718,6k1/6b1/4bBp1/4p2p/2p1P3/2K2RP1/1PP1P1BP/r2r4 b - - 1 29,600.0,d1g1
719,6k1/8/4b1pb/4B2p/2p1P3/2K2RP1/1PP1P1BP/r2r4 b - - 0 30,798.0,h6d2
720,6k1/8/4b1p1/4B2p/2pKP3/5RP1/1PPbP1BP/r2r4 b - - 2 31,789.0,d2f4
721,6k1/8/4b1p1/4B2p/1bp1P3/4KRP1/1PP1P1BP/r2r4 b - - 4 32,532.0,b4c5
722,6k1/8/4b1p1/4B2p/2pKP3/5RP1/1PPbP1BP/r2r4 b - - 6 33,802.0,d2f4
723,6k1/8/4b1p1/4B2p/1bp1P3/4KRP1/1PP1P1BP/r2r4 b - - 8 34,513.0,b4c5
724,6k1/8/4b1p1/2b1B2p/2p1PK2/5RP1/1PP1P1BP/r2r4 b - - 10 35,538.0,c5e7
725,3r2k1/8/4b1p1/2b1B1Kp/2p1P3/5RP1/1PP1P1BP/r7 b - - 12 36,492.0,c5e7
726,3r2k1/5b2/5Rp1/2b1B1Kp/2p1P3/6P1/1PP1P1BP/r7 b - - 14 37,539.0,a1a5
727,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,-15.0,d7d5
728,rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,-9.0,d7d5
729,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-16.0,c7c5
730,rn1qkb1r/ppp1pppp/5n2/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 3 4,-22.0,e7e6
731,r2qkb1r/pppnpppp/5n2/3p4/6b1/1P3NP1/P1PPPPBP/RNBQ1RK1 b kq - 0 5,7.0,c7c6
732,r2qkb1r/pppn1ppp/5n2/3pp3/6b1/1P3NP1/PBPPPPBP/RN1Q1RK1 b kq - 1 6,64.0,e5e4
733,r2qk2r/pppn1ppp/3b1n2/3pp3/3P2b1/1P3NP1/PBP1PPBP/RN1Q1RK1 b kq - 0 7,80.0,e5e4
734,r3k2r/pppnqppp/3b1n2/3pp3/2PP2b1/1P3NP1/PB2PPBP/RN1Q1RK1 b kq - 0 8,-62.0,d5c4
735,r3k2r/pppnqppp/3b1n2/2Pp4/3Pp1b1/1P3NP1/PB2PPBP/RN1Q1RK1 b kq - 0 9,-135.0,d6c5
736,r3k2r/pppnqppp/5n2/2Pp4/4p1b1/1P3NP1/PB2PPBP/RN1Q1RK1 b kq - 0 10,-142.0,e4f3
737,r3k2r/pppnqppp/5n2/2Pp4/6b1/1P3PP1/PB3PBP/RN1Q1RK1 b kq - 0 11,-140.0,g4e6
738,r3k2r/pppnqppp/4bn2/2Pp4/1P6/5PP1/PB3PBP/RN1Q1RK1 b kq - 0 12,-151.0,e8g8
739,r3k2r/pp1nqppp/2p1bn2/2Pp4/1P6/5PP1/PB3PBP/RN1QR1K1 b kq - 1 13,-133.0,e8g8
740,r3k2r/1p1nqppp/2p1bn2/p1Pp4/1P3P2/6P1/PB3PBP/RN1QR1K1 b kq - 0 14,-230.0,g7g6
741,r3k2r/1p1nqp1p/2p1bnp1/p1PpB3/1P3P2/6P1/P4PBP/RN1QR1K1 b kq - 1 15,100.0,d7e5
742,r3k2r/1p2qp1p/2p1bnp1/p1PpP3/1P6/6P1/P4PBP/RN1QR1K1 b kq - 0 16,104.0,f6d7
743,r3k2r/1p1nqp1p/2p1b1p1/p1PpP3/1P6/6P1/P2Q1PBP/RN2R1K1 b kq - 2 17,281.0,a5b4
744,r3k2r/1p1nqp1p/2p1b1p1/2PpP3/1Q6/6P1/P4PBP/RN2R1K1 b kq - 0 18,256.0,d7c5
745,r3k2r/1p2qp1p/2p1b1p1/2npP3/1Q6/2N3P1/P4PBP/R3R1K1 b kq - 1 19,353.0,c5d3
746,r3k2r/1p2Qp1p/2p1b1p1/3pP3/8/2Nn2P1/P4PBP/R3R1K1 b kq - 0 20,337.0,e8e7
747,r6r/1p2kp1p/2p1b1p1/3pP3/8/2NnR1P1/P4PBP/R5K1 b - - 1 21,364.0,d3c5
748,r6r/1p2kp1p/2p3p1/3pPb2/8/3nR1P1/P3NPBP/R5K1 b - - 3 22,374.0,a8a4
749,7r/1p2kp1p/2p3p1/3pPb2/r7/3nR1PP/P3NPB1/R5K1 b - - 0 23,449.0,d5d4
750,7r/1p2kp1p/2p3p1/4Pb2/r2p4/3n1RPP/P3NPB1/R5K1 b - - 1 24,444.0,h8d8
751,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,-15.0,e7e5
752,rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,-28.0,b8c6
753,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-23.0,g7g6
754,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 1 4,-19.0,f8g7
755,r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq - 0 5,14.0,a7a6
756,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQkq - 1 6,-3.0,g8e7
757,r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b kq - 3 7,-2.0,e8g8
758,r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 b - - 0 8,-3.0,a7a6
759,r1bq1rk1/1p1pnpbp/p1n1p1p1/2p5/2P1P3/2NPB1P1/PP2NPBP/R2Q1RK1 b - - 1 9,-2.0,c6d4
760,r1bq1rk1/1p1pnpbp/p3p1p1/2p5/2PnP3/2NPB1P1/PP1QNPBP/R4RK1 b - - 3 10,9.0,d7d6
761,r1bqr1k1/1p1pnpbp/p3p1pB/2p5/2PnP3/2NP2P1/PP1QNPBP/R4RK1 b - - 5 11,-32.0,g7h6
762,r1bqr1kb/1p1pnp1p/p3p1pB/2p5/2PNP3/2NP2P1/PP1Q1PBP/R4RK1 b - - 0 12,-68.0,c5d4
763,r1bqr1kb/1p1pnp1p/p3p1pB/8/2PpP3/3P2P1/PP1QNPBP/R4RK1 b - - 1 13,-77.0,d7d6
764,1rbqr1kb/1p1pnp1p/p3p1pB/8/2PpP3/3P1PP1/PP1QN1BP/R4RK1 b - - 0 14,-48.0,d7d6
765,1rbqr1kb/3pnp1p/p3p1pB/1p6/2PpP3/1P1P1PP1/P2QN1BP/R4RK1 b - - 0 15,11.0,d8b6
766,1rbqr1kb/4np1p/p3p1pB/1p1P4/2Pp4/1P1P1PP1/P2QN1BP/R4RK1 b - - 0 16,88.0,b5c4
767,1rbqr1kb/4np1p/p5pB/1pPp4/3p4/1P1P1PP1/P2QN1BP/R4RK1 b - - 0 17,40.0,e7f5
768,1rbqr1kb/5p1p/p5p1/1pPp1nB1/3p4/1P1P1PP1/P2QN1BP/R4RK1 b - - 2 18,26.0,h8f6
769,1rbqr1kb/7p/p4pp1/1pPp1n2/3p1B2/1P1P1PP1/P2QN1BP/R4RK1 b - - 1 19,-19.0,b8b7
770,2bqr1kb/1r5p/p1P2pp1/1p1p1n2/3p1B2/1P1P1PP1/P2QN1BP/R4RK1 b - - 0 20,10.0,b7e7
771,2bqr1kb/2P1r2p/p4pp1/1p1p1n2/3p1B2/1P1P1PP1/P2QN1BP/R4RK1 b - - 0 21,0.0,d8d7
772,2b1r1kb/2Pqr2p/p4pp1/1p1p1n2/3p1B2/1P1P1PP1/P2QN1BP/R3R1K1 b - - 2 22,0.0,f5e3
773,2b1r1kb/2Pqr2p/p4p2/1p1p1np1/3p1B2/1P1P1PPB/P2QN2P/R3R1K1 b - - 1 23,-5.0,g5f4
774,2b1r1kb/2Pqr2p/p4p2/1p1p1n2/3N1p2/1P1P1PPB/P2Q3P/R3R1K1 b - - 0 24,-15.0,d7c7
775,2b1r1kb/2PBr2p/p4p2/1p1p4/3n1p2/1P1P1PP1/P2Q3P/R3R1K1 b - - 0 25,-79.0,d4f3
776,2b1r1kb/2PBr2p/p4p2/1p1p4/5p2/1P1P1nP1/P2Q1K1P/R3R3 b - - 1 26,-77.0,f3d2
777,2b1B1kb/2P1r2p/p4p2/1p1p4/5p2/1P1P2P1/P2n1K1P/R3R3 b - - 0 27,-65.0,e7c7
778,2b1B1kb/2P1r2p/p4p2/1p1p4/8/1P1P2P1/P2n1K2/R3R3 b - - 0 28,0.0,e7c7
779,2b1B1kb/2r4p/p4p2/1p1p4/8/1P1P2P1/P2n1K2/2R1R3 b - - 1 29,0.0,c7c1
780,2b1B1kb/7p/p4p2/1p1p4/8/1P1P2P1/P2n1K2/2R5 b - - 0 30,0.0,c8g4
781,6kb/7p/p1B2p2/1p1p4/6b1/1P1P2P1/P2n1K2/2R5 b - - 2 31,0.0,g8f8
782,6kb/7p/p7/1p1B1p2/6b1/1P1P2P1/P2n1K2/2R5 b - - 0 32,-258.0,g8g7
783,7b/6kp/p7/1p1B1p2/6b1/1P1P2P1/P1Rn1K2/8 b - - 2 33,8.0,d2b1
784,7b/6kp/p7/1p3p2/6b1/1P1P1BP1/P1R2K2/1n6 b - - 4 34,38.0,g7h6
785,7b/7p/p1R3k1/1p3p2/6b1/1P1P1BP1/P4K2/1n6 b - - 6 35,28.0,g6g5
786,7b/7p/R7/1p3pk1/6b1/1P1P1BP1/P4K2/1n6 b - - 0 36,22.0,b5b4
787,8/7p/R7/1p3pk1/3b2b1/1P1P1BP1/P5K1/1n6 b - - 2 37,10.0,g4f3
788,8/7p/3R4/5pk1/1p1b2b1/1P1P1BP1/P5K1/1n6 b - - 1 38,32.0,d4b2
789,8/7p/8/3R1pk1/1p4b1/1P1PbBP1/P5K1/1n6 b - - 3 39,88.0,b1c3
790,8/7p/8/R4pk1/1p4b1/1PnPbBP1/P5K1/8 b - - 5 40,95.0,h7h5
791,8/8/8/R4pkp/Pp4b1/1PnPbBP1/6K1/8 b - a3 0 41,95.0,b4a3
792,8/8/8/R4pkp/Pp2B1b1/1P1Pb1P1/n5K1/8 b - - 2 42,116.0,a2c1
793,8/8/8/1R3pkp/Pp2B1b1/1P1Pb1P1/6K1/2n5 b - - 4 43,126.0,c1e2
794,8/8/8/5pkp/PR2B1b1/1n1Pb1P1/6K1/8 b - - 0 44,79.0,b3d2
795,8/8/8/3B1pkp/PR1n2b1/3Pb1P1/6K1/8 b - - 2 45,56.0,h5h4
796,8/8/8/3B1pk1/PR1n2bP/3Pb3/6K1/8 b - - 0 46,70.0,g5h4
797,8/8/8/P2B1p2/1R1n2bk/3Pb3/6K1/8 b - - 0 47,189.0,f5f4
798,8/8/P7/3B4/1R1n1pbk/3Pb3/6K1/8 b - - 0 48,174.0,f4f3
799,8/8/P7/8/1R1n2bk/3PbB2/6K1/8 b - - 0 49,184.0,g4f3
800,8/8/P7/8/1R1P2bk/4bn2/6K1/8 b - - 0 50,170.0,e3d4
801,8/8/P7/8/3R2bk/5n2/6K1/8 b - - 0 51,193.0,f3d4
802,8/P7/8/8/3n2bk/8/6K1/8 b - - 0 52,214.0,g4f3
803,8/P7/8/8/3n3k/5b2/5K2/8 b - - 2 53,205.0,f3a8
804,b7/P7/8/8/3n3k/4K3/8/8 b - - 4 54,202.0,d4e6
805,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,-23.0,e7e5
806,rnbqkbnr/pppp1ppp/8/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2,-27.0,g8f6
807,rnbqkbnr/pppp1p1p/6p1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 1 3,-29.0,f8g7
808,rnbqk1nr/pppp1pbp/6p1/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 3 4,-26.0,d7d6
809,rnbqk2r/ppppnpbp/6p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR b KQkq - 0 5,-20.0,d7d6
810,rnbq1rk1/ppppnpbp/6p1/4p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR b KQ - 0 6,-18.0,d7d6
811,rnbq1rk1/ppp1npbp/3p2p1/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQ - 1 7,-23.0,a7a6
812,rnbq1rk1/ppp1n1bp/3p2p1/4ppB1/2P1P3/2NP2P1/PP2NPBP/R2QK2R b KQ - 1 8,-24.0,h7h6
813,rnbq1rk1/pp2n1bp/2pp2p1/4ppB1/2P1P3/2NP2P1/PP1QNPBP/R3K2R b KQ - 1 9,-58.0,f5f4
814,rnbq2k1/pp2nrbp/2pp2p1/4ppB1/2P1P2P/2NP2P1/PP1QNPB1/R3K2R b KQ - 0 10,-93.0,d8f8
815,rn1q2k1/pp2nrbp/2ppb1p1/4ppBP/2P1P3/2NP2P1/PP1QNPB1/R3K2R b KQ - 0 11,-139.0,b8d7
816,rn3qk1/pp2nrbp/2ppb1p1/4ppBP/2P1PP2/2NP2P1/PP1QN1B1/R3K2R b KQ - 0 12,-108.0,b8d7
817,r4qk1/pp1nnrbp/2ppb1p1/4ppBP/2P1PP2/2NP2P1/PP1QN1B1/2KR3R b - - 2 13,-123.0,g6h5
818,r4qk1/pp1nnrbp/2ppb1p1/4p1BP/2P1NP2/3P2P1/PP1QN1B1/2KR3R b - - 0 14,-212.0,d6d5
819,r4qk1/pp1nnrbp/2pNb1p1/3pp1BP/2P2P2/3P2P1/PP1QN1B1/2KR3R b - - 1 15,-201.0,g6h5
820,r4qk1/pp1n1Nbp/2p1b1p1/3ppnBP/2P2P2/3P2P1/PP1QN1B1/2KR3R b - - 0 16,-337.0,f8f7
